CABS		Status		Gap				ObjVAl			Time
0			OPTIMAL		0.000000		587768.446		1.354
1			OPTIMAL		0.000020		690739.889		10.609
2			OPTIMAL		0.000000		714616.889		14.453
3			OPTIMAL		0.000095		945952.889		237.124
4			OPTIMAL		0.000066		2215271.425		47.460
5			OPTIMAL		0.000000		2501875.567		6.864
6			OPTIMAL		0.000013		2875310.680		19.537
7			OPTIMAL		0.000097		3525621.567		3165.331
8			OPTIMAL		0.000010		4734895.788		6.662
9			OPTIMAL		0.000000		5046041.380		32.334
10			OPTIMAL		0.000000		6709539.352		31.161
11			OPTIMAL		0.000093		8709389.590		828.515
12			OPTIMAL		0.000028		146545.999		2.446
13			OPTIMAL		0.000080		180413.999		18.044
14			OPTIMAL		0.000095		215958.518		42.869
15			OPTIMAL		0.000098		294862.999		1138.165
16			OPTIMAL		0.000048		687492.190		4.507
17			OPTIMAL		0.000081		873522.275		10.189
18			OPTIMAL		0.000097		971197.261		48.030
19			OPTIMAL		0.000091		1342260.275		967.806
20			OPTIMAL		0.000001		1374044.340		8.568
21			OPTIMAL		0.000099		1763264.747		219.169
22			OPTIMAL		0.000088		2032637.011		62.615
23			TIME_LIMIT	0.000515		2752829.976		3602.265
24			OPTIMAL		0.000000		133285.192		1.018
25			OPTIMAL		0.000095		172928.221		15.264
26			OPTIMAL		0.000090		238904.506		31.041
27			OPTIMAL		0.000100		310759.403		3557.481
28			OPTIMAL		0.000046		759536.097		1.775
29			OPTIMAL		0.000091		959134.048		73.865
30			OPTIMAL		0.000084		1117904.629		55.023
31			TIME_LIMIT	0.003368		1590466.879		3601.799
32			OPTIMAL		0.000059		1307618.104		7.706
33			OPTIMAL		0.000090		1653252.753		31.254
34			OPTIMAL		0.000100		1988488.810		469.663
35			TIME_LIMIT	0.001874		2869129.167		3600.288
36			OPTIMAL		0.000093		85664.446		1.040
37			OPTIMAL		0.000098		117752.031		9.250
38			OPTIMAL		0.000099		148051.691		373.657
39			TIME_LIMIT	0.001066		221474.691		3628.749
40			OPTIMAL		0.000093		456312.089		0.604
41			OPTIMAL		0.000096		563271.610		11.364
42			OPTIMAL		0.000099		820566.853		243.489
43			TIME_LIMIT	0.001963		1179798.848		3600.554
44			OPTIMAL		0.000096		939902.578		0.552
45			OPTIMAL		0.000084		1304127.618		14.324
46			OPTIMAL		0.000098		1792600.179		579.395
47			TIME_LIMIT	0.001118		2474268.888		3603.531
